X	Freq	Value
-0.357	796.9	-0.0143
-0.357	960.9	0.0066
-0.357	1125.0	0.0251
-0.357	1289.1	0.0177
-0.357	1453.1	-0.0035
-0.357	1617.2	0.0372
-0.357	1781.2	0.0110
-0.357	1945.3	0.0084
-0.357	2109.4	-0.0042
-0.357	2273.4	-0.0017
-0.357	2437.5	-0.0106
-0.357	2601.6	-0.0019
-0.357	2765.6	0.0095
-0.357	2929.7	0.0091
-0.357	3093.8	0.0041
-0.357	3257.8	0.0032
-0.357	3421.9	-0.0002
-0.357	3585.9	0.0038
-0.357	3750.0	-0.0100
-0.357	3914.1	0.0077
-0.357	4054.7	-0.0016
-0.357	4218.8	0.0003
-0.357	4382.8	0.0016
-0.357	4546.9	0.0021
-0.357	4710.9	0.0061
-0.357	4875.0	0.0049
-0.357	5039.1	-0.0075
-0.357	5203.1	0.0063
-0.357	5367.2	0.0027
-0.357	5531.2	-0.0026
-0.357	5695.3	0.0028
-0.357	5859.4	0.0010
-0.357	6023.4	0.0089
-0.357	6187.5	0.0079
-0.357	6351.6	0.0088
-0.357	6515.6	-0.0087
-0.357	6679.7	0.0011
-0.357	6843.8	-0.0075
-0.357	7007.8	0.0003
-0.357	7171.9	0.0070
-0.357	7335.9	0.0028
-0.357	7500.0	-0.0021
-0.357	7664.1	0.0017
-0.357	7828.1	-0.0028
-0.357	7992.2	-0.0070

-0.307	0.0	0.3108
-0.307	140.6	-0.0057
-0.307	304.7	0.0824
-0.307	468.8	-0.0105
-0.307	632.8	-0.0030
-0.307	796.9	-0.0301
-0.307	960.9	0.0076
-0.307	1125.0	-0.0073
-0.307	1289.1	0.0190
-0.307	1453.1	-0.0071
-0.307	1617.2	0.0402
-0.307	1781.2	0.0069
-0.307	1945.3	0.0020
-0.307	2109.4	-0.0073
-0.307	2273.4	0.0086
-0.307	2437.5	-0.0018
-0.307	2601.6	-0.0072
-0.307	2765.6	-0.0011
-0.307	2929.7	0.0074
-0.307	3093.8	0.0014
-0.307	3257.8	0.0037
-0.307	3421.9	-0.0052
-0.307	3585.9	-0.0004
-0.307	3750.0	0.0059
-0.307	3914.1	-0.0066
-0.307	4054.7	0.0058
-0.307	4218.8	-0.0055
-0.307	4382.8	0.0016
-0.307	4546.9	-0.0034
-0.307	4710.9	-0.0067
-0.307	4875.0	-0.0054
-0.307	5039.1	0.0068
-0.307	5203.1	-0.0061
-0.307	5367.2	-0.0027
-0.307	5531.2	0.0019
-0.307	5695.3	-0.0045
-0.307	5859.4	0.0004
-0.307	6023.4	-0.0080
-0.307	6187.5	-0.0061
-0.307	6351.6	-0.0071
